seq_id,monotonic_time,t_x,t_y,t_z,R_w,R_x,R_y,R_z,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
1,0.01,0.02,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
2,0.02,0.04,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
3,0.03,0.06,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
4,0.04,0.08,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
5,0.05,0.1,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
6,0.06,0.12,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
7,0.07,0.14,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
8,0.08,0.16,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
9,0.09,0.18,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
10,0.1,0.2,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
11,0.11,0.22,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
12,0.12,0.24,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
13,0.13,0.26,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
14,0.14,0.28,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
15,0.15,0.3,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
16,0.16,0.32,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
17,0.17,0.34,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
18,0.18,0.36,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
19,0.19,0.38,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
20,0.2,0.4,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
21,0.21,0.42,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
22,0.22,0.44,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
23,0.23,0.46,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
24,0.24,0.48,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
25,0.25,0.5,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
26,0.26,0.52,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
27,0.27,0.54,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
28,0.28,0.56,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
29,0.29,0.58,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
30,0.3,0.6,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
31,0.31,0.62,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
32,0.32,0.64,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
33,0.33,0.66,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
34,0.34,0.68,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
35,0.35000000000000003,0.7000000000000001,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
36,0.36,0.72,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
37,0.37,0.74,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
38,0.38,0.76,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
39,0.39,0.78,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
40,0.4,0.8,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
41,0.41000000000000003,0.8200000000000001,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
42,0.42,0.84,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
43,0.43,0.86,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
44,0.44,0.88,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
45,0.45,0.9,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
46,0.46,0.92,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
47,0.47000000000000003,0.9400000000000001,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
48,0.48,0.96,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
49,0.49,0.98,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
50,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
51,0.51,1.02,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
52,0.52,1.04,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
53,0.53,1.06,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
54,0.54,1.08,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
55,0.55,1.1,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
56,0.56,1.12,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
